DATE,HOUR,LAT,LONG,CONTAINMENT,MSL PRESSURE   ,TEMPERATURE   ,DEW POINT      , TEMPERATURE   ,WIND DIRECTION ,WIND SPEED     , PRECIPITATION,RELATIVE HUMIDITY
09192025,0,42.7016662590338,-123.947117124122,4,1009.6,25.4,8.4,22.3,55,18.4,0.0,34
09192025,1,42.7016662590338,-123.947117124122,4,1009.5,23.9,9.5,21.8,47,13.8,0.0,40
09192025,2,42.7016662590338,-123.947117124122,4,1010.0,21.9,9.8,19.9,20,13.4,0.0,46
09192025,3,42.7016662590338,-123.947117124122,4,1010.1,21.2,7.8,19.0,33,10.7,0.0,42
09192025,4,42.7016662590338,-123.947117124122,4,1010.3,20.2,6.9,17.4,40,13.6,0.0,42
09192025,5,42.7016662590338,-123.947117124122,4,1011.4,19.5,6.9,17.1,27,10.9,0.0,44
09192025,6,42.7016662590338,-123.947117124122,4,1011.6,18.6,7.1,16.1,33,12.5,0.0,47
09192025,7,42.7016662590338,-123.947117124122,4,1010.9,19.1,6.9,16.4,40,13.6,0.0,45
09192025,8,42.7016662590338,-123.947117124122,4,1010.2,19.2,7.0,16.1,49,15.8,0.0,45
09192025,9,42.7016662590338,-123.947117124122,4,1010.5,18.6,7.7,15.7,45,15.8,0.0,49
09192025,10,42.7016662590338,-123.947117124122,4,1010.0,18.8,8.1,16.3,23,13.7,0.0,50
09192025,11,42.7016662590338,-123.947117124122,4,1010.2,19.8,8.1,17.6,23,11.8,0.0,47
09192025,12,42.7016662590338,-123.947117124122,4,1009.9,19.7,7.1,17.8,31,8.4,0.0,44
09192025,13,42.7016662590338,-123.947117124122,4,1010.5,19.0,6.5,17.4,20,5.4,0.0,44
09192025,14,42.7016662590338,-123.947117124122,4,1010.8,18.9,7.4,17.1,45,7.6,0.0,47
09192025,15,42.7016662590338,-123.947117124122,4,1011.2,20.1,7.8,19.0,63,3.2,0.0,45
09192025,16,42.7016662590338,-123.947117124122,4,1011.2,21.7,7.5,20.5,84,3.6,0.0,40
09192025,17,42.7016662590338,-123.947117124122,4,1010.9,23.9,5.3,21.9,112,5.8,0.0,30
09192025,18,42.7016662590338,-123.947117124122,4,1010.9,26.1,8.1,25.1,135,3.1,0.0,32
09192025,19,42.7016662590338,-123.947117124122,4,1011.2,28.2,9.0,26.5,213,14.6,0.0,30
09192025,20,42.7016662590338,-123.947117124122,4,1011.0,28.6,9.8,27.9,283,11.4,0.0,31
09192025,21,42.7016662590338,-123.947117124122,4,1010.7,29.4,10.5,29.4,283,9.3,0.0,31
09192025,22,42.7016662590338,-123.947117124122,4,1010.6,29.8,12.7,30.1,265,9.0,0.0,35
09192025,23,42.7016662590338,-123.947117124122,4,1010.7,28.6,14.0,28.1,308,13.3,0.0,41
09192025,24,42.7016662590338,-123.947117124122,4,1010.9,28.1,12.8,27.2,308,12.3,0.0,39
